id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"az700-004","1","Y","","1.32","","","","","","38","","4","A hub virtual network contains an Azure VPN gateway. Spoke virtual networks are "
"az700-017","1","Y","","1.26","","","","","","22","","3","What is the key difference between a service endpoint and a private endpoint for"
"az700-001","1","Y","","1.23","","","","","","33","","4","You need a site-to-site VPN connection into an Azure virtual network that surviv"
"az700-016","1","","","1.04","Y","entra","entra","","","30","","3","Fifteen developers working from home need individual encrypted access to VMs in "
"az700-014","1","","","0.96","Y","snat","snat|port","","","33","","3","VMs in a subnet make thousands of short outbound connections to the same externa"
"az700-018","1","","","0.96","Y","vnets","vnets","","","26","","3","Security policy forbids public IP addresses on any IaaS VM, yet administrators n"
"az700-007","1","","Y","0.82","","","","","","32","","4","A security team needs centralized, stateful filtering of outbound traffic by ful"
"az700-003","1","","Y","0.74","","","","","","41","","4","An organization has 30 branch offices and workloads in 6 Azure regions. It wants"
"az700-020","1","","Y","0.58","","","","","","27","","3","The security team asks which on-premises subnets have been connecting to which A"
"az700-021","1","","Y","0.45","","","","","","29","","3","A global HTTP application needs TLS termination at Microsoft's edge, anycast-bas"
"az700-011","1","","Y","0.33","","","","","","42","","4","A global application is deployed across four Azure regions. You need to route ea"
"az700-006","0","","","1.13","","","","","","34","","4","All traffic between two spoke virtual networks must be inspected by a network vi"
"az700-012","0","","","1.13","","","","","","38","","4","Operators report intermittent connectivity from a VM to an external endpoint. Th"
"az700-010","0","","","1.08","","","","","","40","","4","A web application needs Layer 7 load balancing with URL path-based routing (for "
"az700-013","0","","","1.01","","","","","","31","","3","NSG rules reference dozens of individual VM IP addresses for the web, app and da"
"az700-019","0","","","0.98","","","","","","29","","3","On-premises clients must resolve names in an Azure Private DNS zone (privatelink"
"az700-022","0","","","0.94","","","","","","32","","3","After a volumetric attack against a public-facing workload, the business wants t"
"az700-015","0","","","0.92","","","","","","21","","3","An ExpressRoute circuit must carry traffic to the company's own VNets AND to Mic"
"az700-002","0","","","0.84","","","","","","36","","4","A company connects to Microsoft over an ExpressRoute circuit and must reach both"
"az700-009","0","","","0.77","","","","","","34","","4","A backend pool of VMs behind an Azure Load Balancer must be resilient to the los"
"az700-005","0","","","0.75","","","","","","30","","4","VMs spread across several spoke virtual networks must resolve each other by host"
"az700-008","0","","","0.7","","","","","","35","","4","You must make an Azure SQL Database reachable from a virtual network using a pri"
