id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"pl-500-003","2","Y","","1.6","Y","control","control|name","","","50","","4","A desktop flow clicks an OK button on a vendor application. After a vendor updat"
"pl-500-010","2","Y","","1.48","Y","until","until","","","46","","4","An attended desktop flow that processes customer records is failing intermittent"
"pl-500-008","2","Y","","1.4","Y","secret","secret","","","40","","4","A bot logs into a vendor portal whose username and password are rotated every 30"
"pl-500-012","2","Y","","1.38","Y","coe","coe|centre|dlp","","","45","","4","Many makers across an organisation are building their own desktop flows, and the"
"pl-500-006","2","Y","","1.35","Y","machines","machines|windows|microsoft","","","29","","4","An organisation wants Power Automate Desktop bots to run on Azure-hosted Windows"
"pl-500-009","2","Y","","1.33","Y","extract","extract|invoices|invoice","","","37","","4","A cloud flow needs to extract the supplier name, invoice number and total from P"
"pl-500-007","2","Y","","1.3","Y","solution","solution","","","47","","4","An RPA solution (cloud flow + desktop flow + connection references + environment"
"pl-500-011","2","Y","","1.27","Y","call","call","","","39","","4","Several desktop flows share an identical 12-step routine that signs into an inte"
"pl-500-004","2","Y","","1.25","Y","always","always","","","31","","4","Inside a Power Automate desktop flow, several actions need to retry on failure a"
"pl-500-005","1","Y","","1.43","","","","","","39","","4","A cloud flow calls a desktop flow that returns a list of invoice numbers. In the"
"pl-500-001","1","Y","","1.16","","","","","","41","","4","A team wants to record how staff move data between SAP, Excel and a legacy WinFo"
"pl-500-002","0","","","0.94","","","","","","49","","4","A bot must log into a vendor portal in Edge, download a CSV file, and email it t"
