id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"ms-102-012","2","Y","","1.41","Y","endpoint","endpoint|power|pro","","","59","","4","Contoso licenses some employees with Microsoft 365 E5 and others with E3. You mu"
"ms-102-006","2","Y","","1.29","Y","project","project|atlas","","","48","","4","Contoso requires that confidential project documents stored in SharePoint Online"
"ms-102-002","2","Y","","1.24","Y","password","password|reset|passwords","","","39","","4","You must give a help-desk analyst the ability to reset passwords for all non-adm"
"ms-102-009","2","Y","","1.24","Y","security","security|incidents","","","41","","4","You want a single dashboard that correlates alerts from Defender for Endpoint, D"
"ms-102-010","2","Y","","1.2","Y","windows","windows|deployment|oem","","","51","","4","Contoso wants new Windows 11 devices shipped from the OEM to be enrolled into Mi"
"ms-102-001","2","Y","","1.17","Y","contoso-eu","contoso-eu|com","","","38","","4","Contoso owns the verified domain contoso.com in Microsoft 365. The administrator"
"ms-102-005","1","Y","","1.36","","","","","","30","","4","An administrator must protect Exchange Online users from messages that impersona"
"ms-102-003","1","Y","","1.26","","","","","","34","","4","Contoso wants to ensure that every administrator must complete multifactor authe"
"ms-102-019","1","","","1.24","Y","bulk","bulk|release|phishing|malware|verdicts","","","27","","3","Security wants users to review and release their own quarantined bulk mail, but "
"ms-102-007","1","Y","","1.2","","","","","","42","","4","Microsoft Secure Score recommends that you reduce the attack surface by disablin"
"ms-102-018","1","","","1.16","Y","automatically","automatically","","","29","","3","Hundreds of abandoned Microsoft 365 groups clutter the tenant. You want unused g"
"ms-102-011","1","Y","","1.15","","","","","","40","","4","An auditor asks for a record of every administrator action performed in Exchange"
"ms-102-013","1","","","0.99","Y","links","links","","","25","","3","Users keep clicking weaponized links that were benign at delivery time but turne"
"ms-102-017","1","","","0.94","Y","exporting","exporting","","","29","","3","Legal must place all mailbox content of three custodians on hold and search it f"
"ms-102-016","1","","Y","0.75","","","","","","31","","3","An admin wants to distinguish two information sources: (a) current incidents deg"
"ms-102-014","0","","","1.23","","","","","","32","","3","Compliance requires that messages and files containing credit card numbers canno"
"ms-102-020","0","","","1.14","","","","","","25","","3","The CISO wants passwords like 'Contoso2026!' impossible for employees to choose,"
"ms-102-004","0","","","1.11","","","","","","50","","4","Your existing on-premises Active Directory forest has UPN suffix contoso.local. "
"ms-102-021","0","","","1.1","","","","","","30","","3","The SOC must be emailed within minutes whenever anyone in the tenant performs a "
"ms-102-008","0","","","1.09","","","","","","36","","4","A compliance officer must retain all Exchange Online mail and Teams chat for use"
"ms-102-022","0","","","1.01","","","","","","28","","3","Contoso must let partner organizations' users collaborate in specific Teams, but"
"ms-102-015","0","","","0.9","","","","","","27","","3","Directory synchronization silently stopped three days ago and no one noticed unt"
