id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"sc-200-007","2","","Y","0.85","Y","sql","sql","","","41","","5","A multicloud team needs Microsoft Defender for Cloud to surface an attack path s"
"sc-200-001","2","","Y","0.79","Y","approval","approval","","","38","","4","A SOC running Microsoft Defender for Endpoint wants confirmed malicious files on"
"sc-200-015","1","","","1.14","Y","logs","logs|cost","","","44","","4","A Sentinel deployment ingests a high volume of verbose Azure Diagnostics logs th"
"sc-200-011","1","","","1.1","Y","network","network","","","43","","4","During an active incident, a SOC analyst confirms an endpoint is executing ranso"
"sc-200-013","1","","","1.1","Y","sync","sync","","","37","","4","An organization onboards 200 servers to Microsoft Defender for Cloud and wants t"
"sc-200-014","1","","","1.04","Y","threat","threat|intelligence|taxii|stix|indicators","","","37","","4","A Sentinel analyst must enrich incidents with up-to-date malicious IP indicators"
"sc-200-005","1","","Y","0.83","","","","","","33","","4","Microsoft Entra ID Protection raises a High user-risk score on an account whose "
"sc-200-003","1","","Y","0.81","","","","","","44","","4","Users keep receiving phishing emails that link to freshly registered domains and"
"sc-200-010","1","","Y","0.79","","","","","","42","","4","A Microsoft Sentinel analytics rule fires hundreds of low-severity incidents per"
"sc-200-016","0","","","1.13","","","","","","49","","4","Microsoft Defender for Cloud Apps generates an 'Impossible travel' alert for a u"
"sc-200-012","0","","","1.03","","","","","","39","","4","A SOC wants a threat-hunting query to run automatically every hour and raise an "
"sc-200-004","0","","","1","","","","","","29","","4","A team must prevent users on unmanaged devices from downloading files from Share"
"sc-200-006","0","","","1","","","","","","42","","4","An analyst opens an incident in the Microsoft Defender portal that correlates al"
"sc-200-009","0","","","0.95","","","","","","41","","5","A Microsoft Sentinel analyst needs a scheduled analytics rule that opens an inci"
"sc-200-008","0","","","0.88","","","","","","43","","4","A team wants Microsoft Defender for Cloud to detect when a critical Azure Storag"
"sc-200-002","0","","","0.83","","","","","","38","","4","Microsoft Defender for Identity raises a 'Suspected DCSync attack' alert pointin"
